Provider,PDF Links,PDF Count,Webpage Links,Webpage Count,All Links,Total Count
Cigna,"[""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/geneticTestingForHereditaryAndMultifactorialConditions.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/geneticTestingForReproductiveCarrierScreeningAndPrenatalDiagnosis.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/molecularAndProteomicDiagnosticTestingForHematologyAndOncologyIndications.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/pharmacogeneticTestingForNonCancerIndications.pdf""]",4,"[""https://www.cigna.com/health-care-providers/resources/genetic-testing-and-counseling-program"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/categories/genetics.html""]",2,"[""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/geneticTestingForHereditaryAndMultifactorialConditions.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/geneticTestingForReproductiveCarrierScreeningAndPrenatalDiagnosis.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/molecularAndProteomicDiagnosticTestingForHematologyAndOncologyIndications.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/pharmacogeneticTestingForNonCancerIndications.pdf"", ""https://www.cigna.com/health-care-providers/resources/genetic-testing-and-counseling-program"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/categories/genetics.html""]",6
Cigna + Oscar,"[""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0052_coveragepositioncriteria_genetic_testing_hereditary_multifactorial_conditions.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0514_coveragepositioncriteria_genetic_testing_reproductive_carrier_screening_prenatal_diagnosis.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0520_coveragepositioncriteria_molecular_proteomic_diagnostic_testing_hematology_oncology.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0500_coveragepositioncriteria_pharmacogenetic_testing_non_cancer_indications.pdf""]",4,"[""https://www.cigna.com/health-care-providers/resources/genetic-testing-and-counseling-program""]",1,"[""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0052_coveragepositioncriteria_genetic_testing_hereditary_multifactorial_conditions.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0514_coveragepositioncriteria_genetic_testing_reproductive_carrier_screening_prenatal_diagnosis.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0520_coveragepositioncriteria_molecular_proteomic_diagnostic_testing_hematology_oncology.pdf"", ""https://chk.static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/medical/mm_0500_coveragepositioncriteria_pharmacogenetic_testing_non_cancer_indications.pdf"", ""https://www.cigna.com/health-care-providers/resources/genetic-testing-and-counseling-program""]",5
Claimsbridge,[],0,[],0,[],0
Colorado Medicaid,"[""https://leg.colorado.gov/sites/default/files/2024a_124_signed.pdf"", ""https://leg.colorado.gov/sites/default/files/2023a_1110_introduced.pdf""]",2,"[""https://hcpf.colorado.gov/laboratory-billing""]",1,"[""https://leg.colorado.gov/sites/default/files/2024a_124_signed.pdf"", ""https://leg.colorado.gov/sites/default/files/2023a_1110_introduced.pdf"", ""https://hcpf.colorado.gov/laboratory-billing""]",3
Common Ground Healthcare Cooperative,"[""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Only.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Vision-Exam-Allergy-Testing.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Dental-Vision-Exam-Allergy-Testing.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Small-Group-Medical.pdf""]",4,"[""https://commongroundhealthcare.org/coverage-details/"", ""https://commongroundhealthcare.org/coverage-details-archive/""]",2,"[""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Only.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Vision-Exam-Allergy-Testing.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Medical-Dental-Vision-Exam-Allergy-Testing.pdf"", ""https://commongroundhealthcare.org/wp-content/uploads/2024/01/2024-Small-Group-Medical.pdf"", ""https://commongroundhealthcare.org/coverage-details/"", ""https://commongroundhealthcare.org/coverage-details-archive/""]",6
Commonwealth Care Alliance,"[""https://www.commonwealthcarealliance.org/documents/genetic-and-molecular-testing/"", ""https://www.commonwealthcarealliance.org/documents/maternal-cell-free-fetal-dna-testing/""]",2,[],0,"[""https://www.commonwealthcarealliance.org/documents/genetic-and-molecular-testing/"", ""https://www.commonwealthcarealliance.org/documents/maternal-cell-free-fetal-dna-testing/""]",2
Community Care Alliance Illinois,[],0,"[""https://hfs.illinois.gov/medicalproviders/notices/notice.prn241231a.html"", ""https://ilga.gov/legislation/ilcs/ilcs4.asp?ActID=1249&ChapterID=22&DocName=021500050HArt.+XX&SeqEnd=120300000&SeqStart=101100000"", ""https://ilga.gov/legislation/ilcs/documents/030500050K5-52.htm""]",3,"[""https://hfs.illinois.gov/medicalproviders/notices/notice.prn241231a.html"", ""https://ilga.gov/legislation/ilcs/ilcs4.asp?ActID=1249&ChapterID=22&DocName=021500050HArt.+XX&SeqEnd=120300000&SeqStart=101100000"", ""https://ilga.gov/legislation/ilcs/documents/030500050K5-52.htm""]",3
Community Care New Mexico,"[""https://www.hsd.state.nm.us/wp-content/uploads/2020/12/Centennial-Care-Managed-Care-Policy-M.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/22-10-Supplement-Prenatal-Genetic-Screening-1.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/files/Providers/New%20Mexico%20Administrative%20Code%20Program%20Rules%20and%20Billing/NMAC%20Program%20Rules/Chapter%20324/8_324_5-Revised.pdf""]",3,[],0,"[""https://www.hsd.state.nm.us/wp-content/uploads/2020/12/Centennial-Care-Managed-Care-Policy-M.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/22-10-Supplement-Prenatal-Genetic-Screening-1.pdf"", ""https://www.hsd.state.nm.us/wp-content/uploads/files/Providers/New%20Mexico%20Administrative%20Code%20Program%20Rules%20and%20Billing/NMAC%20Program%20Rules/Chapter%20324/8_324_5-Revised.pdf""]",3
Community Care Plan Florida,[],0,"[""https://ccpcares.org/Members/Medicaid/""]",1,"[""https://ccpcares.org/Members/Medicaid/""]",1
Community First Health Plans,"[""https://commercial.communityfirsthealthplans.com/wp-content/uploads/2024/01/Commercial-HMO-Prior-Authorization-List-2024.pdf"", ""https://commercial.communityfirsthealthplans.com/wp-content/uploads/2024/01/Commercial-HMO-Prior-Authorization-Codes-2024.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Member-Handbook-English-2025.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Member-Handbook-Spanish-2025.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Summary-of-Benefits-and-Coverage-2025.pdf""]",5,"[""https://commercial.communityfirsthealthplans.com/knowledge-base/prior-authorization-providers/2024-prior-authorization-resources/"", ""https://exchange.communityfirsthealthplans.com/plan-documents/"", ""https://exchange.communityfirsthealthplans.com/transparency-in-coverage/"", ""https://exchange.communityfirsthealthplans.com/sbc/""]",4,"[""https://commercial.communityfirsthealthplans.com/wp-content/uploads/2024/01/Commercial-HMO-Prior-Authorization-List-2024.pdf"", ""https://commercial.communityfirsthealthplans.com/wp-content/uploads/2024/01/Commercial-HMO-Prior-Authorization-Codes-2024.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Member-Handbook-English-2025.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Member-Handbook-Spanish-2025.pdf"", ""https://exchange.communityfirsthealthplans.com/wp-content/uploads/2025/01/Summary-of-Benefits-and-Coverage-2025.pdf"", ""https://commercial.communityfirsthealthplans.com/knowledge-base/prior-authorization-providers/2024-prior-authorization-resources/"", ""https://exchange.communityfirsthealthplans.com/plan-documents/"", ""https://exchange.communityfirsthealthplans.com/transparency-in-coverage/"", ""https://exchange.communityfirsthealthplans.com/sbc/""]",9
Connecticut Medicaid,"[""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/GeneticTestingPolicy.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Whole_Exome_and_Whole_Genome_Sequencing_Policy.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Provider_Policy_BRCA_Testing.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Genetic_testing-Colorectal_Cancer_Susceptibility.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Genetic_Testing-DD_ASD_and_MR.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Fetal_Aneuploidy_DNA_Sequence_Analysis_Policy.pdf""]",6,[],0,"[""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/GeneticTestingPolicy.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Whole_Exome_and_Whole_Genome_Sequencing_Policy.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Provider_Policy_BRCA_Testing.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Genetic_testing-Colorectal_Cancer_Susceptibility.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Genetic_Testing-DD_ASD_and_MR.pdf"", ""https://www.huskyhealthct.org/providers/provider_postings/policies_procedures/Fetal_Aneuploidy_DNA_Sequence_Analysis_Policy.pdf""]",6
Cook Children's Health Plans,[],0,[],0,[],0
Coordinated Care Health Plan,[],0,[],0,[],0
CORE Care Select,[],0,[],0,[],0
CountyCare,[],0,"[""https://countycare.com/members/covered-services/"", ""https://countycare.com/providers/clinical-criteria-for-prior-authorizations/"", ""https://hfs.illinois.gov/medicalproviders/notices/notice.prn241231a.html""]",3,"[""https://countycare.com/members/covered-services/"", ""https://countycare.com/providers/clinical-criteria-for-prior-authorizations/"", ""https://hfs.illinois.gov/medicalproviders/notices/notice.prn241231a.html""]",3
DC Medicaid,"[""https://dhcf.dc.gov/sites/default/files/dc/sites/dhcf/publication/attachments/Transmittal%2022-19%20-%20Noninvasive%20Prenatal%20Testing%20%28NIPT%29.pdf"", ""https://dchr.dc.gov/sites/default/files/dc/sites/dchr/publication/attachments/Aetna%20Enhanced%20Maternity%20Genetic%20Screening.pdf""]",2,"[""https://code.dccouncil.gov/us/dc/council/code/sections/31-3834.02""]",1,"[""https://dhcf.dc.gov/sites/default/files/dc/sites/dhcf/publication/attachments/Transmittal%2022-19%20-%20Noninvasive%20Prenatal%20Testing%20%28NIPT%29.pdf"", ""https://dchr.dc.gov/sites/default/files/dc/sites/dchr/publication/attachments/Aetna%20Enhanced%20Maternity%20Genetic%20Screening.pdf"", ""https://code.dccouncil.gov/us/dc/council/code/sections/31-3834.02""]",3
Dean Health Plan,"[""https://www.deancare.com/getmedia/0a1b2c3d4e5f6g7h8i9j/General-Approach-to-Genetic-Testing-MP9610.pdf"", ""https://www.deancare.com/getmedia/1a2b3c4d5e6f7g8h9i0j/Genetic-Testing-Epilepsy-Neurodegenerative-Neuromuscular-Disorders-9591.pdf"", ""https://www.deancare.com/getmedia/2a3b4c5d6e7f8g9h0i1j/Genetic-Testing-Pharmacogenetics-9602.pdf"", ""https://www.deancare.com/getmedia/3a4b5c6d7e8f9g0h1i2j/Genetic-Testing-Inherited-Disorders-Intellectual-Disability-Developmental-Delay-9587.pdf"", ""https://www.deancare.com/getmedia/4a5b6c7d8e9f0g1h2i3j/Genetic-Testing-Dermatologic-Conditions-9590.pdf"", ""https://www.deancare.com/getmedia/5a6b7c8d9e0f1g2h3i4j/Genetic-Testing-Cardiac-Disorders-9589.pdf"", ""https://www.deancare.com/getmedia/6a7b8c9d0e1f2g3h4i5j/Genetic-Testing-Aortopathies-Connective-Tissue-Disorders-9588.pdf"", ""https://www.deancare.com/getmedia/7a8b9c0d1e2f3g4h5i6j/Genetic-Testing-Metabolic-Endocrine-Mitochondrial-Disorders-9600.pdf""]",8,"[""https://www.deancare.com/providers/medical-management/genetic-testing""]",1,"[""https://www.deancare.com/getmedia/0a1b2c3d4e5f6g7h8i9j/General-Approach-to-Genetic-Testing-MP9610.pdf"", ""https://www.deancare.com/getmedia/1a2b3c4d5e6f7g8h9i0j/Genetic-Testing-Epilepsy-Neurodegenerative-Neuromuscular-Disorders-9591.pdf"", ""https://www.deancare.com/getmedia/2a3b4c5d6e7f8g9h0i1j/Genetic-Testing-Pharmacogenetics-9602.pdf"", ""https://www.deancare.com/getmedia/3a4b5c6d7e8f9g0h1i2j/Genetic-Testing-Inherited-Disorders-Intellectual-Disability-Developmental-Delay-9587.pdf"", ""https://www.deancare.com/getmedia/4a5b6c7d8e9f0g1h2i3j/Genetic-Testing-Dermatologic-Conditions-9590.pdf"", ""https://www.deancare.com/getmedia/5a6b7c8d9e0f1g2h3i4j/Genetic-Testing-Cardiac-Disorders-9589.pdf"", ""https://www.deancare.com/getmedia/6a7b8c9d0e1f2g3h4i5j/Genetic-Testing-Aortopathies-Connective-Tissue-Disorders-9588.pdf"", ""https://www.deancare.com/getmedia/7a8b9c0d1e2f3g4h5i6j/Genetic-Testing-Metabolic-Endocrine-Mitochondrial-Disorders-9600.pdf"", ""https://www.deancare.com/providers/medical-management/genetic-testing""]",9
Delaware Medicaid,"[""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=1306&language=en-US&PortalId=0&TabId=94"", ""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=904&language=en-US&PortalId=0&TabId=94"", ""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=909&language=en-US&PortalId=0&TabId=94""]",3,"[""https://medicaid.dhss.delaware.gov/"", ""https://dpr.delaware.gov/boards/medicalpractice/geneticcounselor/"", ""https://www.babysfirsttest.org/newborn-screening/states/delaware"", ""https://insurance.delaware.gov/divisions/consumerhp/preventive/"", ""https://www.hrsa.gov/sites/default/files/hrsa/advisory-committees/heritable-disorders/reports-recommendations/state-laws-medical-foods-tab.pdf""]",5,"[""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=1306&language=en-US&PortalId=0&TabId=94"", ""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=904&language=en-US&PortalId=0&TabId=94"", ""https://medicaidpublications.dhss.delaware.gov/docs/DesktopModules/Bring2mind/DMX/API/Entries/Download?Command=Core_Download&EntryId=909&language=en-US&PortalId=0&TabId=94"", ""https://medicaid.dhss.delaware.gov/"", ""https://dpr.delaware.gov/boards/medicalpractice/geneticcounselor/"", ""https://www.babysfirsttest.org/newborn-screening/states/delaware"", ""https://insurance.delaware.gov/divisions/consumerhp/preventive/"", ""https://www.hrsa.gov/sites/default/files/hrsa/advisory-committees/heritable-disorders/reports-recommendations/state-laws-medical-foods-tab.pdf""]",8
Dell Children's Health Plan,[],0,[],0,[],0
Devoted Health,[],0,"[""https://www.devoted.com/plan-documents/internal-coverage-criteria-medical-services/"", ""https://www.devoted.com/plan-documents/2025-prior-authorization-list/""]",2,"[""https://www.devoted.com/plan-documents/internal-coverage-criteria-medical-services/"", ""https://www.devoted.com/plan-documents/2025-prior-authorization-list/""]",2
Driscoll Health Plan,[],0,[],0,[],0
Empire BCBS,[],0,"[""https://www.empireblue.com/dam/medpolicies/abc/active/guidelines/gl_pw_d091788.html"", ""https://www-origin-dr.empireblue.com/faqs/empireblue/benefits-claims/""]",2,"[""https://www.empireblue.com/dam/medpolicies/abc/active/guidelines/gl_pw_d091788.html"", ""https://www-origin-dr.empireblue.com/faqs/empireblue/benefits-claims/""]",2
Empire BCBS-HealthPlus,[],0,"[""https://www.empireblue.com/provider/policies/clinical-guidelines/search/""]",1,"[""https://www.empireblue.com/provider/policies/clinical-guidelines/search/""]",1
Evolutions Healthcare Systems-PPO Network,[],0,[],0,[],0
Fallon Health,"[""https://fallonhealth.org/providers/criteria-policies-guidelines/medical-policies/genetic-testing.pdf""]",1,[],0,"[""https://fallonhealth.org/providers/criteria-policies-guidelines/medical-policies/genetic-testing.pdf""]",1
FedMed,[],0,[],0,[],0
Fidelis Care NY,"[""https://www.fideliscare.org/Portals/0/Policies/CP.FC.49_Genetic_Testing.pdf"", ""https://www.fideliscare.org/Portals/0/Policies/CP.FC.35_Thyroid_Nodule_Genetic_Testing.pdf""]",2,"[""https://www.fideliscare.org/Provider/Provider-Policies""]",1,"[""https://www.fideliscare.org/Portals/0/Policies/CP.FC.49_Genetic_Testing.pdf"", ""https://www.fideliscare.org/Portals/0/Policies/CP.FC.35_Thyroid_Nodule_Genetic_Testing.pdf"", ""https://www.fideliscare.org/Provider/Provider-Policies""]",3
First Carolina Care,[],0,"[""https://firstcarolinacare.com/medical-policies"", ""https://www.evicore.com/resources/healthplan/firstcarolinacare""]",2,"[""https://firstcarolinacare.com/medical-policies"", ""https://www.evicore.com/resources/healthplan/firstcarolinacare""]",2
First Choice Health Network,[],0,"[""https://www.fchn.com/MedicalPolicies/Index""]",1,"[""https://www.fchn.com/MedicalPolicies/Index""]",1
Florida Community Care,[],0,[],0,[],0
Florida Medicaid,"[""https://www.flrules.org/gateway/readRefFile.asp?refId=6760&filename=59G-4.190%20Coverage%20Policy%20Proposed.pdf"", ""https://ahca.myflorida.com/content/download/20087/file/Independent_Lab_Fee_Schedule_2022_JULY.pdf""]",2,"[""https://ahca.myflorida.com/medicaid/medicaid-policy-quality-and-operations/medicaid-policy-and-quality/medicaid-policy""]",1,"[""https://www.flrules.org/gateway/readRefFile.asp?refId=6760&filename=59G-4.190%20Coverage%20Policy%20Proposed.pdf"", ""https://ahca.myflorida.com/content/download/20087/file/Independent_Lab_Fee_Schedule_2022_JULY.pdf"", ""https://ahca.myflorida.com/medicaid/medicaid-policy-quality-and-operations/medicaid-policy-and-quality/medicaid-policy""]",3
Geisinger Health Network,[],0,"[""https://payerinfo.zendesk.com/hc/en-us/articles/14154431786647-Review-Criteria-Colorectal-Cancer-Genetic-Testing""]",1,"[""https://payerinfo.zendesk.com/hc/en-us/articles/14154431786647-Review-Criteria-Colorectal-Cancer-Genetic-Testing""]",1
Georgia Medicaid,"[""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/Independent%20Lab%20Services%20July%202023%2020230914192856.pdf"", ""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/EPSDT%20Services%20Health%20Check%20Program%20Manual%20V1%20JULY%202023%2020230630142117.pdf"", ""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/Hospital%20Services%20Manual%2007-01-2023%20RevisedV2%2020230913170143.pdf""]",3,"[""https://medicaid.georgia.gov/"", ""https://rules.sos.ga.gov/gac/511-5-5""]",2,"[""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/Independent%20Lab%20Services%20July%202023%2020230914192856.pdf"", ""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/EPSDT%20Services%20Health%20Check%20Program%20Manual%20V1%20JULY%202023%2020230630142117.pdf"", ""https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/Hospital%20Services%20Manual%2007-01-2023%20RevisedV2%2020230913170143.pdf"", ""https://medicaid.georgia.gov/"", ""https://rules.sos.ga.gov/gac/511-5-5""]",5
Gulf Coast Provider Network,[],0,[],0,[],0
Hamaspik Choice,[],0,[],0,[],0
Hawaii Medicare,[],0,"[""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=59856&ver=22"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59417&ver=17""]",2,"[""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=59856&ver=22"", ""https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=59417&ver=17""]",2
Health Alliance Medical Plans,[],0,"[""https://healthalliance.org/clinical-review-criteria""]",1,"[""https://healthalliance.org/clinical-review-criteria""]",1
Health Choice Arizona,[],0,"[""https://www.azahcccs.gov/shared/MedicalPolicyManual/"", ""https://www.azahcccs.gov/Members/ProgramsAndCoveredServices/""]",2,"[""https://www.azahcccs.gov/shared/MedicalPolicyManual/"", ""https://www.azahcccs.gov/Members/ProgramsAndCoveredServices/""]",2
Health New England,[],0,[],0,[],0
Health Value Management dba ChoiceCare Network,[],0,[],0,[],0
Healthcare Partners Affiliates Medical Group,[],0,"[""https://www.healthcarepartnersny.com/home/providers/provider-resources/referrals-prior-authorizations/prior-authorization-lab-and-pathology-services/""]",1,"[""https://www.healthcarepartnersny.com/home/providers/provider-resources/referrals-prior-authorizations/prior-authorization-lab-and-pathology-services/""]",1
Healthfirst,"[""https://hfproviders.org/media/PO-RE-048-Testing-for-Alpha-1-Antitrypsin-Deficiency.pdf"", ""https://hfproviders.org/media/PO-RE-049-Metabolite-Markers-of-Thiopurines-Testing.pdf"", ""https://hfproviders.org/media/PO-RE-051-Celiac-Disease-Testing.pdf""]",3,"[""https://hfproviders.org/whatsnew/prior-authorization-for-molecular-genomic-testing-procedure-codes-and-descriptions""]",1,"[""https://hfproviders.org/media/PO-RE-048-Testing-for-Alpha-1-Antitrypsin-Deficiency.pdf"", ""https://hfproviders.org/media/PO-RE-049-Metabolite-Markers-of-Thiopurines-Testing.pdf"", ""https://hfproviders.org/media/PO-RE-051-Celiac-Disease-Testing.pdf"", ""https://hfproviders.org/whatsnew/prior-authorization-for-molecular-genomic-testing-procedure-codes-and-descriptions""]",4
HealthPartners,"[""https://go.healthpartners.com/ucm/groups/public/@hp/@public/documents/documents/entry_269725.pdf""]",1,"[""https://www.healthpartnersplan.com/providers/resources/policy-bulletins""]",1,"[""https://go.healthpartners.com/ucm/groups/public/@hp/@public/documents/documents/entry_269725.pdf"", ""https://www.healthpartnersplan.com/providers/resources/policy-bulletins""]",2
Healthy Blue Louisiana,"[""https://provider.healthybluela.com/dam/medpolicies/healthybluela/active/policies/mp_pw_d092916.html"", ""https://provider.healthybluela.com/dam/medpolicies/healthybluela/active/policies/mp_pw_a044145.html""]",2,"[""https://provider.healthybluela.com/louisiana-provider/medical-policies-and-clinical-guidelines"", ""https://provider.healthybluela.com/louisiana-provider/medical-policies-and-clinical-guidelines-full-list""]",2,"[""https://provider.healthybluela.com/dam/medpolicies/healthybluela/active/policies/mp_pw_d092916.html"", ""https://provider.healthybluela.com/dam/medpolicies/healthybluela/active/policies/mp_pw_a044145.html"", ""https://provider.healthybluela.com/louisiana-provider/medical-policies-and-clinical-guidelines"", ""https://provider.healthybluela.com/louisiana-provider/medical-policies-and-clinical-guidelines-full-list""]",4
Healthy Blue Missouri,[],0,"[""https://provider.healthybluemo.com/missouri-provider/medical-policies-and-clinical-guidelines""]",1,"[""https://provider.healthybluemo.com/missouri-provider/medical-policies-and-clinical-guidelines""]",1
Healthy Blue Nebraska,[],0,"[""https://provider.healthybluene.com/nebraska-provider/medical-policies-and-clinical-guidelines"", ""https://provider.healthybluene.com/nebraska-provider/medical-policies-and-clinical-guidelines-full-list""]",2,"[""https://provider.healthybluene.com/nebraska-provider/medical-policies-and-clinical-guidelines"", ""https://provider.healthybluene.com/nebraska-provider/medical-policies-and-clinical-guidelines-full-list""]",2
Healthy Blue North Carolina,"[""https://www.bluecrossnc.com/sites/default/files/document/attachment/services/public/pdfs/medicalpolicy/genetic_testing_for_inherited_cardiomyopathies_and_channelopathies.pdf""]",1,"[""https://www.bluecrossnc.com/providers/policies-guidelines-codes/commercial/laboratory/updates/genetic-testing-for-inherited-cardiomyopathies-and-channelopathies"", ""https://www.bluecrossnc.com/providers/provider-news/2023/genetic-testing-healthy-blue-medicare-hmo-d-snp""]",2,"[""https://www.bluecrossnc.com/sites/default/files/document/attachment/services/public/pdfs/medicalpolicy/genetic_testing_for_inherited_cardiomyopathies_and_channelopathies.pdf"", ""https://www.bluecrossnc.com/providers/policies-guidelines-codes/commercial/laboratory/updates/genetic-testing-for-inherited-cardiomyopathies-and-channelopathies"", ""https://www.bluecrossnc.com/providers/provider-news/2023/genetic-testing-healthy-blue-medicare-hmo-d-snp""]",3
Highmark BCBS,[],0,"[""https://hbs.highmarkprc.com/care-management-programs/laboratory-management-program"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/printerfriendly/L-34-044.html"", ""https://securecms.highmark.com/content/medpolicy/en/highmark/de/commercial/policies/Laboratory/L-192/L-192-004.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-192-003.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/printerfriendly/L-110-001.html"", ""https://securecms.highmark.com/content/medpolicy/en/highmark-wholecare/de/medicaid/policy/de-medicare-policies/de-medicare-medical-policies/hho-de-mp-3041-testing-for-genetic-disease/hho-de-mp-3041-001-testing-for-genetic-disease.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-113-009.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-114-005.html""]",8,"[""https://hbs.highmarkprc.com/care-management-programs/laboratory-management-program"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/printerfriendly/L-34-044.html"", ""https://securecms.highmark.com/content/medpolicy/en/highmark/de/commercial/policies/Laboratory/L-192/L-192-004.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-192-003.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/printerfriendly/L-110-001.html"", ""https://securecms.highmark.com/content/medpolicy/en/highmark-wholecare/de/medicaid/policy/de-medicare-policies/de-medicare-medical-policies/hho-de-mp-3041-testing-for-genetic-disease/hho-de-mp-3041-001-testing-for-genetic-disease.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-113-009.html"", ""https://secure.highmark.com/ldap/medicalpolicy/wpa-highmark/L-114-005.html""]",8
Highmark BCBS of Delaware,[],0,"[""https://hdebcbs.highmarkprc.com/Care-Management-Programs/Laboratory-Management-Program"", ""https://securecms.highmark.com/content/medpolicy/en/highmark-wholecare/de/medicaid/policy/de-medicare-policies/de-medicare-medical-policies/hho-de-mp-3041-testing-for-genetic-disease/hho-de-mp-3041-001-testing-for-genetic-disease.html"", ""https://www.highmark.com/delaware/medical-policy/medical-policy-selection/"", ""https://www.highmark.com/delaware/medical-policy""]",4,"[""https://hdebcbs.highmarkprc.com/Care-Management-Programs/Laboratory-Management-Program"", ""https://securecms.highmark.com/content/medpolicy/en/highmark-wholecare/de/medicaid/policy/de-medicare-policies/de-medicare-medical-policies/hho-de-mp-3041-testing-for-genetic-disease/hho-de-mp-3041-001-testing-for-genetic-disease.html"", ""https://www.highmark.com/delaware/medical-policy/medical-policy-selection/"", ""https://www.highmark.com/delaware/medical-policy""]",4
